,player_id,season,age,games,passing_yards,pass_td,interception,comp_pct,receptions,receiving_yards,reception_td,rush_attempts,rushing_yards,run_td
629,00-0034419,2021,26,15,0.0,0.0,0.0,0.0,46.0,409.0,2.0,7.0,40.0,2.0
630,00-0034419,2022,27,15,2.0,1.0,0.0,1.0,18.0,145.0,0.0,9.0,91.0,2.0
631,00-0034419,2023,28,12,0.0,0.0,0.0,0.0,27.0,238.0,2.0,1.0,11.0,0.0
632,00-0033069,2016,24,9,0.0,0.0,0.0,0.0,15.0,99.0,1.0,3.0,0.0,0.0
633,00-0033069,2017,25,10,0.0,0.0,0.0,0.0,19.0,162.0,1.0,1.0,1.0,0.0
634,00-0023438,2012,29,5,0.0,0.0,0.0,0.0,18.0,199.0,1.0,0.0,0.0,0.0
635,00-0037355,2022,23,2,0.0,0.0,0.0,0.0,2.0,17.0,0.0,0.0,0.0,0.0
636,00-0038120,2022,21,7,0.0,0.0,0.0,0.0,19.0,218.0,1.0,80.0,463.0,4.0
637,00-0038120,2023,22,17,0.0,0.0,0.0,0.0,76.0,591.0,4.0,224.0,996.0,5.0
638,00-0025549,2012,27,15,0.0,0.0,0.0,0.0,57.0,684.0,2.0,0.0,0.0,0.0
639,00-0025549,2013,28,16,0.0,0.0,0.0,0.0,32.0,502.0,7.0,0.0,0.0,0.0
640,00-0025549,2014,29,16,0.0,0.0,0.0,0.0,32.0,340.0,2.0,0.0,0.0,0.0
641,00-0025549,2015,30,12,0.0,0.0,0.0,0.0,27.0,398.0,3.0,0.0,0.0,0.0
642,00-0025549,2016,31,10,0.0,0.0,0.0,0.0,14.0,155.0,0.0,0.0,0.0,0.0
643,00-0025549,2017,32,11,0.0,0.0,0.0,0.0,13.0,130.0,1.0,0.0,0.0,0.0
644,00-0038935,2023,23,5,0.0,0.0,0.0,0.0,5.0,35.0,1.0,0.0,0.0,0.0
645,00-0032054,2016,23,15,0.0,0.0,0.0,0.0,33.0,499.0,3.0,1.0,2.0,0.0
