playerID,year,games,passYds,passTDs,ints,compPct,rec,recYds,recTDs,rshAtt,rshYds,rshTDs
00-0035243,2023,16,0.0,0.0,0.0,0.0,27.0,154.0,1.0,129.0,432.0,1.0
00-0033869,2017,12,1997.0,7.0,7.0,0.543,0.0,0.0,0.0,37.0,257.0,3.0
00-0033869,2018,14,3088.0,24.0,12.0,0.627,0.0,0.0,0.0,57.0,433.0,3.0
00-0033869,2019,15,2906.0,17.0,10.0,0.591,0.0,0.0,0.0,42.0,199.0,2.0
00-0033869,2020,10,1932.0,17.0,8.0,0.63,0.0,0.0,0.0,33.0,195.0,1.0
00-0033869,2021,5,43.0,0.0,1.0,0.75,0.0,0.0,0.0,3.0,34.0,1.0
00-0033869,2022,7,1186.0,5.0,5.0,0.613,0.0,0.0,0.0,15.0,43.0,2.0
00-0033869,2023,5,592.0,4.0,5.0,0.588,0.0,0.0,0.0,14.0,56.0,2.0
00-0035771,2021,1,0.0,0.0,0.0,0.0,3.0,16.0,0.0,0.0,0.0,0.0
00-0035771,2022,9,0.0,0.0,0.0,0.0,17.0,139.0,1.0,0.0,0.0,0.0
00-0035771,2023,9,0.0,0.0,0.0,0.0,9.0,56.0,0.0,0.0,0.0,0.0
00-0033217,2018,8,0.0,0.0,0.0,0.0,7.0,133.0,2.0,0.0,0.0,0.0
00-0033217,2019,9,0.0,0.0,0.0,0.0,8.0,93.0,0.0,0.0,0.0,0.0
00-0033217,2020,14,0.0,0.0,0.0,0.0,31.0,394.0,2.0,0.0,0.0,0.0
00-0033217,2021,17,0.0,0.0,0.0,0.0,24.0,316.0,4.0,0.0,0.0,0.0
00-0033217,2022,14,0.0,0.0,0.0,0.0,19.0,189.0,4.0,0.0,0.0,0.0
00-0033217,2023,13,0.0,0.0,0.0,0.0,13.0,163.0,3.0,0.0,0.0,0.0
00-0027026,2012,9,0.0,0.0,0.0,0.0,17.0,254.0,0.0,0.0,0.0,0.0
00-0029632,2012,6,73.0,1.0,0.0,1.0,16.0,154.0,4.0,5.0,15.0,0.0
00-0029632,2013,16,25.0,0.0,0.0,1.0,47.0,455.0,2.0,4.0,16.0,0.0
00-0029632,2014,16,73.0,1.0,0.0,0.75,56.0,792.0,5.0,7.0,51.0,0.0
00-0029632,2015,16,0.0,0.0,0.0,0.0,33.0,394.0,1.0,10.0,71.0,2.0
00-0029632,2016,15,0.0,0.0,0.0,0.0,59.0,655.0,4.0,1.0,5.0,0.0
00-0029632,2017,15,51.0,1.0,0.0,1.0,67.0,703.0,5.0,4.0,10.0,0.0
00-0029632,2018,16,5.0,1.0,0.0,0.5,66.0,840.0,4.0,7.0,44.0,0.0
00-0029632,2019,8,0.0,0.0,0.0,0.0,59.0,520.0,2.0,3.0,11.0,0.0
00-0029632,2020,6,0.0,0.0,0.0,0.0,17.0,189.0,1.0,1.0,3.0,0.0
00-0029632,2021,8,0.0,0.0,0.0,0.0,15.0,177.0,0.0,0.0,0.0,0.0
00-0027666,2012,10,0.0,0.0,0.0,0.0,2.0,16.0,0.0,65.0,271.0,1.0
00-0030522,2013,15,0.0,0.0,0.0,0.0,20.0,145.0,0.0,120.0,559.0,4.0
00-0030522,2014,5,0.0,0.0,0.0,0.0,9.0,62.0,0.0,55.0,172.0,1.0
00-0037272,2022,9,0.0,0.0,0.0,0.0,4.0,2.0,0.0,5.0,30.0,0.0
00-0031585,2015,10,0.0,0.0,0.0,0.0,10.0,89.0,0.0,0.0,0.0,0.0
00-0031585,2016,1,0.0,0.0,0.0,0.0,2.0,13.0,0.0,0.0,0.0,0.0
00-0031585,2018,7,0.0,0.0,0.0,0.0,9.0,102.0,1.0,0.0,0.0,0.0
00-0031585,2019,6,0.0,0.0,0.0,0.0,6.0,90.0,1.0,0.0,0.0,0.0
00-0031585,2020,5,0.0,0.0,0.0,0.0,5.0,49.0,2.0,0.0,0.0,0.0
00-0031585,2021,10,0.0,0.0,0.0,0.0,14.0,147.0,3.0,0.0,0.0,0.0
00-0031585,2022,10,0.0,0.0,0.0,0.0,16.0,150.0,4.0,0.0,0.0,0.0
00-0031585,2023,9,0.0,0.0,0.0,0.0,9.0,110.0,1.0,0.0,0.0,0.0
00-0035311,2019,7,0.0,0.0,0.0,0.0,7.0,51.0,0.0,36.0,133.0,1.0
00-0035311,2020,10,0.0,0.0,0.0,0.0,41.0,388.0,2.0,142.0,584.0,3.0
00-0035311,2021,17,0.0,0.0,0.0,0.0,49.0,234.0,4.0,173.0,612.0,3.0
00-0035311,2022,2,0.0,0.0,0.0,0.0,4.0,28.0,0.0,10.0,26.0,0.0
00-0035624,2019,7,0.0,0.0,0.0,0.0,12.0,105.0,2.0,5.0,49.0,0.0
00-0035624,2020,13,0.0,0.0,0.0,0.0,33.0,309.0,2.0,2.0,0.0,0.0
00-0035624,2021,9,0.0,0.0,0.0,0.0,12.0,184.0,0.0,0.0,0.0,0.0
00-0035624,2022,6,0.0,0.0,0.0,0.0,7.0,116.0,1.0,0.0,0.0,0.0
00-0036893,2021,17,0.0,0.0,0.0,0.0,74.0,467.0,3.0,307.0,1200.0,7.0
00-0036893,2022,17,4.0,0.0,0.0,1.0,41.0,233.0,3.0,272.0,1034.0,7.0
00-0036893,2023,17,0.0,0.0,0.0,0.0,29.0,170.0,0.0,256.0,1035.0,8.0
